TABLE NO.  1
 ID          TIME        DV          MDV         CMT         DL          IPRED       IWRES       DV          PRED        RES         WRES
  3.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  3.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  3.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  3.0000E+00  2.0000E+00  6.9184E-01  0.0000E+00  1.0000E+00  1.0000E+00  8.2858E-01 -1.3674E-01  6.9184E-01  8.2858E-01 -1.3674E-01 -7.8622E-01
  3.0000E+00  2.0000E+00  8.5567E-02  0.0000E+00  2.0000E+00  1.0000E+00  3.4260E-02  5.1307E-02  8.5567E-02  3.4260E-02  5.1307E-02  2.9499E-01
  3.0000E+00  2.0000E+00  2.3866E-01  0.0000E+00  3.0000E+00  1.0000E+00  1.9007E-01  4.8593E-02  2.3866E-01  1.9007E-01  4.8593E-02  2.7939E-01
  3.0000E+00  5.0000E+00  4.9224E-01  0.0000E+00  1.0000E+00  1.0000E+00  5.4645E-01 -5.4204E-02  4.9224E-01  5.4645E-01 -5.4204E-02 -3.1165E-01
  3.0000E+00  5.0000E+00  7.8575E-02  0.0000E+00  2.0000E+00  1.0000E+00  5.5928E-02  2.2647E-02  7.8575E-02  5.5928E-02  2.2647E-02  1.3021E-01
  3.0000E+00  5.0000E+00  2.8869E-01  0.0000E+00  3.0000E+00  1.0000E+00  3.1462E-01 -2.5940E-02  2.8869E-01  3.1462E-01 -2.5940E-02 -1.4914E-01
  3.0000E+00  1.0000E+01  3.4308E-01  0.0000E+00  1.0000E+00  1.0000E+00  2.6973E-01  7.3354E-02  3.4308E-01  2.6973E-01  7.3354E-02  4.2175E-01
  3.0000E+00  1.0000E+01  5.7500E-02  0.0000E+00  2.0000E+00  1.0000E+00  5.4691E-02  2.8090E-03  5.7500E-02  5.4691E-02  2.8090E-03  1.6151E-02
  3.0000E+00  1.0000E+01  2.4895E-01  0.0000E+00  3.0000E+00  1.0000E+00  3.1336E-01 -6.4404E-02  2.4895E-01  3.1336E-01 -6.4404E-02 -3.7030E-01
  3.0000E+00  1.5000E+01  2.2622E-01  0.0000E+00  1.0000E+00  1.0000E+00  1.3197E-01  9.4251E-02  2.2622E-01  1.3197E-01  9.4251E-02  5.4190E-01
  3.0000E+00  1.5000E+01  4.2181E-02  0.0000E+00  2.0000E+00  1.0000E+00  3.9933E-02  2.2474E-03  4.2181E-02  3.9933E-02  2.2474E-03  1.2922E-02
  3.0000E+00  1.5000E+01  1.9632E-01  0.0000E+00  3.0000E+00  1.0000E+00  2.3203E-01 -3.5713E-02  1.9632E-01  2.3203E-01 -3.5713E-02 -2.0533E-01
  3.0000E+00  2.0000E+01  1.1753E-01  0.0000E+00  1.0000E+00  1.0000E+00  6.4281E-02  5.3247E-02  1.1753E-01  6.4281E-02  5.3247E-02  3.0615E-01
  3.0000E+00  2.0000E+01  3.7602E-02  0.0000E+00  2.0000E+00  1.0000E+00  2.5844E-02  1.1758E-02  3.7602E-02  2.5844E-02  1.1758E-02  6.7602E-02
  3.0000E+00  2.0000E+01  1.8233E-01  0.0000E+00  3.0000E+00  1.0000E+00  1.5185E-01  3.0474E-02  1.8233E-01  1.5185E-01  3.0474E-02  1.7521E-01
  3.0000E+00  3.0000E+01  8.6376E-02  0.0000E+00  1.0000E+00  1.0000E+00  1.5167E-02  7.1208E-02  8.6376E-02  1.5167E-02  7.1208E-02  4.0942E-01
  3.0000E+00  3.0000E+01  2.2411E-02  0.0000E+00  2.0000E+00  1.0000E+00  9.0896E-03  1.3322E-02  2.2411E-02  9.0896E-03  1.3322E-02  7.6594E-02
  3.0000E+00  3.0000E+01  1.2741E-01  0.0000E+00  3.0000E+00  1.0000E+00  5.4349E-02  7.3057E-02  1.2741E-01  5.4349E-02  7.3057E-02  4.2005E-01
