TABLE NO.  2
 ID          KA          K20         K30         V2          DV          PRED        RES         WRES
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  6.3279E-06  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  7.1010E-05  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  3.3190E-07  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.4873E-07  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.8701E-06  0.0000E+00  0.0000E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  4.2806E-01  8.6784E-01 -4.3978E-01 -3.2225E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  7.5711E-02  3.9974E-02  3.5737E-02  2.6186E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.2091E-01  1.7259E-01  4.8324E-02  3.5409E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  6.0749E-01  5.9606E-01  1.1434E-02  8.3783E-02
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  6.2910E-02  6.3445E-02 -5.3507E-04 -3.9206E-03
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.2759E-01  2.8984E-01 -6.2245E-02 -4.5610E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.6508E-01  3.1868E-01 -5.3609E-02 -3.9281E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  4.3093E-02  5.9797E-02 -1.6704E-02 -1.2240E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.0214E-01  2.9879E-01 -9.6646E-02 -7.0816E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.0983E-01  1.7039E-01  3.9447E-02  2.8904E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.3288E-02  4.2524E-02 -9.2368E-03 -6.7682E-02
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.4980E-01  2.3112E-01 -8.1313E-02 -5.9581E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  9.9859E-02  9.1098E-02  8.7604E-03  6.4191E-02
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.2202E-02  2.7040E-02  5.1623E-03  3.7826E-02
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.7512E-01  1.5898E-01  1.6141E-02  1.1827E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  7.1663E-02  2.6041E-02  4.5622E-02  3.3429E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.7932E-02  9.3841E-03  1.8548E-02  1.3591E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.1486E-01  6.3561E-02  5.1297E-02  3.7588E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.9346E-02  3.9800E-03  3.5366E-02  2.5914E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  8.9048E-03  1.6299E-03  7.2749E-03  5.3306E-02
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  4.4412E-02  1.3165E-02  3.1247E-02  2.2896E-01
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  6.0829E-04  0.0000E+00  0.0000E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  2.6239E-04  0.0000E+00  0.0000E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  2.4336E-03  0.0000E+00  0.0000E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.4209E-05  0.0000E+00  0.0000E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  6.3279E-06  0.0000E+00  0.0000E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  7.1010E-05  0.0000E+00  0.0000E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  3.3190E-07  0.0000E+00  0.0000E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.4873E-07  0.0000E+00  0.0000E+00
  4.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.8701E-06  0.0000E+00  0.0000E+00
  5.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  7.4113E-01  8.6784E-01 -1.2672E-01 -9.2851E-01
  5.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.0271E-01  3.9974E-02  6.2740E-02  4.5972E-01
  5.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.9757E-01  1.7259E-01  1.2498E-01  9.1576E-01
  5.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  6.9791E-01  5.9606E-01  1.0185E-01  7.4631E-01
  5.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.0137E-01  6.3445E-02  3.7930E-02  2.7792E-01
  5.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.0011E-01  2.8984E-01  1.0274E-02  7.5278E-02
  5.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.3251E-01  3.1868E-01  1.3830E-02  1.0134E-01
